taxa 13_FC_Irr 13_FC_Dry 12_Gr_Irr 12_Gr_Dry
REDLAND 125.33 67.77 155.27 87.45
RIPPER 115.79 80.58 214.55 79.4
RITA 121.37 73.97 103.61 77.45
ROSE 108.92 64.92 128.98 89.6
ROSEBUD 120.15 76.78 139.39 74.36
LYMAN 119.66 88.84 163.82 86.36
SD01058 133.56 74.71 -999 89.26
SD01237 127.2 79.85 179.31 99.18
SD05118 128.09 66.2 159.86 81.86
SD05210 123.35 75.75 164.49 90.63
SD05W018 122.66 74.93 161.7 93.26
SANDY 127.87 70.98 119.42 94.51
SCOUT66 128.11 74.41 123.16 86.99
SHOCKER 122.36 77.91 131.15 84.4
SIOUXLAND 115.59 78.7 153.79 96.43
SMOKYHILL 119.93 72.59 156.63 98.48
SPARTAN 119.18 75.51 188.69 72.62
STANTON 132.56 80.07 166.52 112.55
STURDY_2K 111.62 68.4 205.69 84.06
STURDY 118.35 72.05 172.22 76.95
TAM105 129.83 74.03 214.37 103.73
TAM107 118.19 68.01 150.95 101.04
TAM109 121.84 71.65 194.35 89.37
TAM110 124.91 65.89 198.13 97.45
TAM111 129.26 78.68 188.94 89.8
TAM112 122.65 88.97 161.82 96.77
TAM200 135.88 78.47 157.62 83.8
TAM202 127.66 73.19 215.19 91.89
TAM203 107.1 86.88 149.49 83.51
TAM302 133.71 79.01 170.57 85.03
TAM303 125 71.38 186.38 80.77
TAM304 135.98 73.74 161.12 84.84
TAM400 117.32 84.88 175.54 81
TAM401 126.29 66.96 170.36 87.98
TAMW-101 122.37 69.84 173.56 86.79
TX00V1131 121.72 71.94 144.12 82.76
TX01A5936 115.39 70.34 180.17 98.65
TX01M5009-28 118.96 69.58 158.09 86.07
TX01V5134RC-3 122.26 79.14 184.35 85.88
TX02A0252 132.5 76.54 168.67 100.3
TX03A0148 106.29 67.7 185.61 87.93
TX03A0563 118.67 77.56 169.32 89.06
TX04A001246 112.01 71.62 168.68 98.11
TX04M410164 130.19 68.9 128.65 94.51
TX04M410211 113.72 71.39 169.05 87.06
TX04V075080 110.75 71.09 178.43 81.15
TX86A5606 112.63 69.94 167.68 103.05
TX86A8072 114.88 71.42 185.76 102.13
TX96D1073 121.55 74.63 143.32 92.33
TX99A0153-1 126.58 64.84 191.18 88.71
TX99U8618 125.91 79.05 190.56 94.26
TAM107-R7 125.68 74.98 184.68 85.05
TANDEM 133.11 69.98 142.6 71.68
TARKIO 118.11 82.39 197.09 98.18
TREGO 126 73.65 193.99 90.37
TRIUMPH64 114.44 79.05 145.78 86.99
TURKEY_NEBSEL 114.92 80 158.15 86.22
VISTA 119.28 74.79 188.35 88.11
VONA 117.87 82.17 176.9 85.96
WAHOO 114.14 70.08 156.1 81.48
WARRIOR 120.58 64.64 141.15 87.47
WENDY 116.64 80.1 173.76 91.49
WESLEY 120.92 72.23 172.69 91.16
WICHITA 109.24 71.09 120.82 78.24
WINDSTAR 142.25 74.22 183.01 93.78
WINOKA 132.54 69.38 165 81.35
YELLOWSTONE 141.28 74.93 152.99 74.95
YUMA 140.05 69.93 146.78 88.11
YUMAR 113.56 65.13 175.74 78
2145 136.44 78.88 178.24 79.8
AKRON 121.51 74.48 133.45 96.59
BISON 125.95 79.52 110.45 83.94
BURCHETT 118.04 81.85 188.8 92.5
CO04W320 127.24 84.5 113.53 96.6
CO940610 123.07 73.42 136.34 79.67
CAMELOT 125.04 70.21 145.76 100.08
COMANCHE 110.28 77.37 116.26 65.76
COSSACK 112.36 73.05 152.05 91.68
CUTTER 116.18 75.08 193.38 90.6
DUMAS 120.61 83.81 157.56 69.46
EAGLE 121.98 70.74 160.75 80.93
ENHANCER 139.9 75.13 190.44 94.89
